path,datatype,encoding,compressor,props,tags,attributes,measurementAlias,comment
root.key.rom,text,PLAIN,UNCOMPRESSED,m:null,m:null,m:null,from,关键字:from
root.key.`and`,boolean,PLAIN,UNCOMPRESSED,m:null,m:null,m:null,and,关键字:and
root.key.`or`,Int,PLAIN,UNCOMPRESSED,m:null,m:null,m:null,or,关键字:or
root.key.`null`,long,PLAIN,UNCOMPRESSED,m:null,m:null,m:null,key_null,关键字:null
root.sg.d1.internationalization.中文,text,PLAIN,UNCOMPRESSED,m:null,m:null,m:null,中文,国际化:中文
root.sg.d1.internationalization.`française`,boolean,PLAIN,UNCOMPRESSED,m:null,m:null,m:null,`française`,国际化:法语
root.sg.d1.internationalization.`العربية`,Int,PLAIN,UNCOMPRESSED,m:null,m:null,m:null,`العربية`,国际化:阿拉伯语
root.sg.d1.internationalization.`Español`,long,PLAIN,UNCOMPRESSED,m:null,m:null,m:null,`Español`,国际化:西班牙语
root.sg.d1.internationalization.`にほんご`,float,PLAIN,UNCOMPRESSED,m:null,m:null,m:null,`にほんご`,国际化:日语
root.sg.d1.internationalization.`Русский`,double,PLAIN,UNCOMPRESSED,m:null,m:null,m:null,`Русский`,国际化:俄语
root.sg.d1.internationalization.`한국어`,text,PLAIN,UNCOMPRESSED,m:null,m:null,m:null,`한국어`,国际化:韩语
root.sg.d1.max.abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUV.d.s_text1,text,PLAIN,UNCOMPRESSED,m:null,m:null,m:null,null,64 最大长度多个层级
root.abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ01234.d.s_text2,text,PLAIN,UNCOMPRESSED,m:null,m:null,m:null,null,64 最大长度2个层级
root.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.ll.d.s_txt3,text,PLAIN,UNCOMPRESSED,m:null,m:null,m:null,null,64 最大层级长度
root.sg.d1.max.`123456789123456789123456789123456789123456789123`.d.s_txt4,text,PLAIN,UNCOMPRESSED,m:null,m:null,m:null,null,反引号64最大长度
